23135,Rental unit in Brooklyn 1 bedroom 1 bed 1 private bath,11481,Private room,200,30,47,40.67747,-74.00146,34,60,https://www.airbnb.com/rooms/23135,2,1,1
23686,Home in New York 3 bedrooms 3 beds 2 baths,93790,Entire home/apt,600,30,257,40.72961,-74.00308,35,120,https://www.airbnb.com/rooms/23686,4,2,3
24285,Rental unit in Brooklyn 4 bedrooms 6 beds 3 baths,97797,Entire home/apt,220,30,214,40.67115,-73.98026,36,180,https://www.airbnb.com/rooms/24285,5,3,6
25406,Rental unit in Brooklyn 1 bedroom 2 beds 1 bath,105538,Entire home/apt,,30,300,40.71649,-73.94865,37,100,https://www.airbnb.com/rooms/25406,4,1,2
26785,Rental unit in Brooklyn 1 bedroom 1 bed 1 bath,42273,Entire home/apt,90,30,214,40.6686,-73.98723,38,365,https://www.airbnb.com/rooms/26785,2,1,1
27883,Rental unit in New York Studio 2 beds 1 bath,120223,Entire home/apt,100,30,280,40.72421,-73.98509,39,365,https://www.airbnb.com/rooms/27883,3,1,2
28907,Rental unit in New York 1 bedroom 2 beds 1 bath,124352,Entire home/apt,150,30,307,40.77827,-73.94669,40,30,https://www.airbnb.com/rooms/28907,4,1,2
29013,Rental unit in Brooklyn 1 bedroom 1 bed 1 shared bath,35935,Private room,90,30,18,40.68288,-73.95646,41,730,https://www.airbnb.com/rooms/29013,2,1,1
29628,Condo in Brooklyn 1 bedroom 1 bed 1 shared bath,127608,Private room,103,3,60,40.68292,-73.96381,42,60,https://www.airbnb.com/rooms/29628,2,1,1
29683,Rental unit in New York 1 bedroom 1 bed 1 bath,125857,Entire home/apt,185,30,30,40.72314,-73.99108,43,1125,https://www.airbnb.com/rooms/29683,3,1,1
31130,Condo in New York 1 bedroom 1 bed 1 bath,117287,Entire home/apt,154,30,125,40.7672,-73.98464,44,360,https://www.airbnb.com/rooms/31130,1,1,1
31555,Rental unit in New York Studio 1 bed 1 bath,135619,Entire home/apt,,30,295,40.73405,-74.00281,45,59,https://www.airbnb.com/rooms/31555,2,1,1
31902,Home in Brooklyn 3 bedrooms 1 bed 1 shared bath,137292,Private room,80,30,81,40.6327,-73.93184,46,90,https://www.airbnb.com/rooms/31902,2,1,1
31994,Rental unit in Brooklyn 1 bedroom 1 bed 1 private bath,137814,Private room,95,2,60,40.68818,-73.96383,47,365,https://www.airbnb.com/rooms/31994,2,1,1
32037,Condo in Brooklyn 1 bedroom 2 beds 1.5 baths,116599,Private room,139,30,60,40.68513,-73.96648,48,730,https://www.airbnb.com/rooms/32037,3,1.5,2
33009,Rental unit in Brooklyn 1 bedroom 1 bed 1 bath,143027,Entire home/apt,195,30,300,40.71512,-73.95899,49,90,https://www.airbnb.com/rooms/33009,2,1,1
34760,Townhouse in Brooklyn 1 bedroom 1 bed 2 shared baths,149929,Private room,75,30,105,40.69101,-73.97378,50,60,https://www.airbnb.com/rooms/34760,1,2,1
36121,Rental unit in Brooklyn 1 bedroom 1 bed 1 shared bath,62165,Private room,200,90,224,40.67376,-73.96611,51,365,https://www.airbnb.com/rooms/36121,1,1,1
38663,Home in Brooklyn 5 bedrooms 5 beds 2.5 baths,165789,Entire home/apt,900,30,28,40.68442,-73.98068,52,60,https://www.airbnb.com/rooms/38663,2,2.5,5
38833,Rental unit in New York 1 bedroom 1 bed 1 bath,166532,Entire home/apt,147,3,49,40.81806,-73.94667,53,1125,https://www.airbnb.com/rooms/38833,2,1,1
39282,Rental unit in Brooklyn 1 bedroom 1 bed 1 shared bath,168525,Private room,152,30,259,40.71065,-73.95087,54,45,https://www.airbnb.com/rooms/39282,2,1,1
