1,49,4.68,4.73,4.63,4.77,4.8,4.81,4.4,0.28
2,50,4.52,4.22,4.09,4.91,4.91,4.47,4.52,0.28
3,191,4.58,4.58,4.86,4.85,4.79,4.68,4.57,1.07
4,1,5,5,5,5,5,5,5,0.05
5,246,4.88,4.83,4.96,4.96,4.95,4.85,4.84,1.42
6,13,4.91,5,4.91,5,5,5,5,0.08
7,358,4.89,4.9,4.9,4.96,4.93,4.94,4.82,2.1
8,12,4.9,4.75,4.63,4.88,4.75,5,4.88,0.07
9,190,4.77,4.83,4.74,4.88,4.88,4.67,4.76,1.09
10,58,4.52,4.68,4.16,4.97,5,4.95,4.58,0.33
11,80,4.65,4.49,4.61,4.73,4.85,4.39,4.65,0.48
12,0,0,0,0,0,0,0,0,0
13,315,4.39,4.6,4.05,4.81,4.85,4.71,4.53,1.82
14,386,4.91,4.92,4.87,4.91,4.92,4.9,4.85,2.34
15,75,4.52,4.61,4.41,4.71,4.54,4.07,4.39,0.44
16,203,4.65,4.74,4.4,4.86,4.86,4.56,4.71,1.23
17,177,4.82,4.88,4.91,4.91,4.93,4.8,4.78,1.03
18,59,4.56,4.38,3.91,4.85,4.77,4.17,4.46,0.35
19,37,4.56,4.65,4.43,4.92,4.81,4.73,4.35,0.3
20,57,4.87,4.82,4.82,4.85,4.85,4.85,4.69,0.34
21,5,5,4.8,4.8,5,5,4.8,4.8,0.05
22,541,4.79,4.84,4.76,4.79,4.78,4.74,4.69,4.28
23,188,4.72,4.8,4.45,4.8,4.89,4.9,4.64,1.35
24,291,4.85,4.9,4.77,4.96,4.94,4.42,4.77,1.71
25,53,4.8,4.74,4.9,4.98,4.98,4.56,4.55,0.32
26,147,4.41,4.38,4.26,4.82,4.76,4.71,4.47,0.98
27,30,5,4.92,4.92,4.92,4.92,4.79,4.79,0.18
28,246,4.95,4.93,4.96,4.99,4.99,5,4.94,1.58
29,1,5,5,3,5,5,5,5,0.01
30,59,4.49,4.65,3.53,4.65,4.68,4.98,4.41,0.35
31,165,4.05,4.26,3.69,4.59,4.39,4.4,4.16,1.02
32,3,5,5,5,5,4.67,5,4.33,0.05
33,36,4.97,4.97,4.8,5,5,5,4.91,0.22
34,317,4.71,4.84,4.89,4.8,4.74,4.67,4.7,1.91
35,57,4.42,4.63,4.22,4.56,4.75,4.98,4.52,0.41
36,91,4.83,4.78,4.93,4.95,4.78,4.78,4.85,0.55
37,29,4.62,4.76,4.45,4.97,4.97,4.79,4.72,0.23
38,479,4.93,4.95,4.96,4.98,4.98,4.89,4.91,2.9
39,25,4.85,4.63,4.79,5,4.89,4.79,4.74,0.15
40,19,4.95,4.94,5,4.88,4.88,4.94,4.88,0.11
41,73,4.71,4.36,4.58,4.78,4.7,4.39,4.54,0.45
42,393,4.94,4.94,4.94,4.99,4.98,4.86,4.92,2.38
43,118,4.76,4.85,4.83,4.82,4.91,4.9,4.62,0.71
44,74,4.89,4.86,4.9,4.96,4.96,5,4.84,0.45
45,30,4.71,4.79,4.41,4.9,4.97,4.93,4.69,0.19
46,4,4.33,4,4,4.33,4.33,4.33,4.33,0.02
47,564,4.53,4.67,4.45,4.76,4.75,4.75,4.59,3.43
48,92,4.84,4.76,4.85,4.92,4.97,4.83,4.72,0.56
49,295,4.96,4.96,4.98,4.98,4.98,4.96,4.9,1.79
50,32,5,4.97,4.94,4.94,4.97,4.9,4.94,0.4
51,9,4.88,5,4.8,5,5,5,5,0.06
52,43,4.7,4.83,4.52,4.88,4.88,4.86,4.62,0.31
53,192,4.84,4.87,4.43,4.96,4.98,4.78,4.82,1.18
54,261,4.82,4.82,4.59,4.93,4.87,4.85,4.77,1.6
55,44,4.86,4.93,4.83,4.98,5,4.98,4.86,0.27
